sale_id,product_id,region,amount,quantity,sale_date
S00251,P004,North,374.85,12,2024-03-07
S00252,P005,North,297.37,18,2024-10-14
S00253,P003,North,211.3,14,2024-01-27
S00254,P003,East,182.31,19,2024-09-16
S00255,P002,South,331.8,8,2024-02-25
S00256,P003,East,66.29,9,2024-10-20
S00257,P002,West,424.13,20,2024-11-10
S00258,P005,North,308.41,9,2024-01-15
S00259,P002,East,354.32,10,2024-06-22
S00260,P003,North,98.89,5,2024-10-16
S00261,P004,North,79.52,1,2024-02-16
S00262,P005,South,194.34,15,2024-06-23
S00263,P002,East,162.7,11,2024-10-17
S00264,P005,North,442.84,5,2024-03-21
S00265,P005,North,340.24,9,2024-08-14
S00266,P004,West,307.47,14,2024-05-19
S00267,P002,North,179.13,4,2024-05-25
S00268,P005,West,268.2,10,2024-01-24
S00269,P002,West,492.38,2,2024-01-04
S00270,P002,East,473.21,5,2024-05-10
S00271,P003,East,68.79,16,2024-08-08
S00272,P002,South,196.3,8,2024-09-13
S00273,P005,East,45.32,2,2024-08-11
S00274,P001,West,461.37,11,2024-10-21
S00275,P004,West,357.65,14,2024-05-28
S00276,P001,West,20.22,11,2024-03-28
S00277,P005,West,417.69,12,2024-02-15
S00278,P004,North,129.23,19,2024-07-24
S00279,P005,North,203.93,10,2024-06-22
S00280,P002,East,391.77,3,2024-09-18
S00281,P001,South,453.9,12,2024-06-28
S00282,P002,South,60.37,9,2024-04-11
S00283,P002,South,382.51,3,2024-03-31
S00284,P004,West,379.68,19,2024-08-17
S00285,P005,East,433.48,11,2024-03-18
S00286,P004,North,239.77,10,2024-05-20
S00287,P005,North,182.45,3,2024-06-07
S00288,P004,West,28.43,12,2024-05-26
S00289,P001,North,311.35,17,2024-07-15
S00290,P004,North,230.37,19,2024-11-29
S00291,P002,East,306.45,17,2024-03-18
S00292,P001,West,60.72,11,2024-02-13
S00293,P005,South,29.18,15,2024-08-12
S00294,P005,South,188.31,10,2024-07-17
S00295,P004,East,342.66,2,2024-11-19
S00296,P003,North,171.55,18,2024-12-13
S00297,P004,East,133.48,20,2024-03-17
S00298,P003,North,295.54,5,2024-06-28
S00299,P003,West,73.19,3,2024-06-07
S00300,P005,West,325.31,11,2024-03-06
S00301,P005,North,326.55,14,2024-09-17
S00302,P003,North,187.67,6,2024-04-19
S00303,P003,West,104.08,5,2024-03-20
S00304,P001,East,423.77,4,2024-09-16
S00305,P005,North,334.35,20,2024-03-08
S00306,P005,West,85.58,6,2024-12-20
S00307,P005,South,363.38,2,2024-07-29
S00308,P003,South,485.1,20,2024-05-25
S00309,P004,South,271.67,10,2024-08-28
S00310,P002,East,342.37,19,2024-08-13
S00311,P004,East,391.28,17,2024-09-27
S00312,P004,South,410.28,20,2024-03-11
S00313,P003,North,324.18,12,2024-10-10
S00314,P001,North,149.68,6,2024-05-19
S00315,P004,South,417.21,3,2024-04-23
S00316,P004,East,465.93,14,2024-01-28
S00317,P004,East,125.53,3,2024-07-10
S00318,P002,North,166.16,4,2024-11-28
S00319,P003,South,77.42,10,2024-08-29
S00320,P002,West,229.81,1,2024-02-10
S00321,P001,East,115.67,5,2024-10-07
S00322,P005,West,64.48,10,2024-05-01
S00323,P003,North,33.4,14,2024-11-23
S00324,P005,West,40.78,16,2024-11-01
S00325,P005,North,319.66,19,2024-05-03
S00326,P002,East,220.33,20,2024-06-29
S00327,P002,West,101.78,3,2024-09-25
S00328,P003,North,477.17,18,2024-09-16
S00329,P005,North,201.32,16,2024-01-23
S00330,P004,East,134.29,1,2024-07-01
S00331,P001,East,128.15,4,2024-10-24
S00332,P003,South,31.72,18,2024-06-22
S00333,P002,West,490.6,16,2024-11-19
S00334,P002,South,40.92,15,2024-01-19
S00335,P003,South,31.47,7,2024-01-22
S00336,P003,East,262.54,18,2024-08-30
S00337,P003,North,379.11,7,2024-05-26
S00338,P003,North,434.24,11,2024-05-19
S00339,P001,East,224.11,13,2024-08-13
S00340,P004,East,487.12,16,2024-12-20
S00341,P004,East,462.91,17,2024-05-16
S00342,P001,West,48.67,20,2024-04-02
S00343,P005,East,167.39,3,2024-06-16
S00344,P003,East,228.5,14,2024-03-26
S00345,P004,East,229.09,12,2024-11-10
S00346,P004,East,323.34,2,2024-02-08
S00347,P004,East,261.41,6,2024-01-16
S00348,P002,West,27.05,3,2024-04-30
S00349,P003,East,197.6,19,2024-01-17
S00350,P005,South,342.74,12,2024-07-09
S00351,P004,North,291.22,17,2024-07-06
S00352,P004,East,328.28,8,2024-02-28
S00353,P001,South,254.53,13,2024-10-14
S00354,P001,East,389.73,15,2024-04-19
S00355,P005,East,350.05,16,2024-04-12
S00356,P001,South,427.88,15,2024-03-29
S00357,P004,North,407.15,11,2024-12-07
S00358,P003,North,279.5,10,2024-06-02
S00359,P002,South,398.91,17,2024-04-24
S00360,P001,South,398.11,8,2024-09-09
S00361,P001,East,281.47,12,2024-08-27
S00362,P005,South,309.85,3,2024-02-03
S00363,P003,West,499.8,16,2024-09-26
S00364,P004,West,413.44,3,2024-03-05
S00365,P003,North,230.49,17,2024-06-25
S00366,P002,South,386.21,5,2024-08-09
S00367,P005,North,417.38,17,2024-03-19
S00368,P003,South,89.36,8,2024-06-26
S00369,P005,East,424.51,9,2024-04-10
S00370,P005,East,71.33,10,2024-11-10
S00371,P005,North,256.26,6,2024-10-30
S00372,P005,South,93.89,20,2024-11-05
S00373,P003,North,414.37,1,2024-02-11
S00374,P001,East,329.05,19,2024-08-01
S00375,P005,North,254.04,18,2024-05-28
S00376,P003,West,129.99,13,2024-06-01
S00377,P004,North,347.42,6,2024-08-13
S00378,P004,West,237.58,11,2024-11-06
S00379,P002,East,432.13,11,2024-06-25
S00380,P004,South,382.73,17,2024-10-14
S00381,P001,East,128.45,4,2024-05-16
S00382,P004,South,79.03,2,2024-05-28
S00383,P004,West,131.65,6,2024-06-16
S00384,P005,East,103.02,6,2024-09-12
S00385,P005,West,254.39,10,2024-09-11
S00386,P001,North,473.16,17,2024-08-22
S00387,P002,South,295.84,2,2024-01-26
S00388,P003,West,302.78,16,2024-05-26
S00389,P005,North,425.11,14,2024-03-09
S00390,P003,East,384.29,12,2024-01-24
S00391,P004,North,289.44,7,2024-07-04
S00392,P005,East,46.03,17,2024-08-18
S00393,P005,East,414.4,20,2024-12-14
S00394,P005,North,73.05,4,2024-07-20
S00395,P003,East,283.34,12,2024-03-14
S00396,P002,West,255.04,2,2024-01-20
S00397,P002,East,403.94,17,2024-08-21
S00398,P002,South,170.7,20,2024-06-12
S00399,P002,West,495.4,10,2024-10-30
S00400,P003,West,357.28,10,2024-08-31
S00401,P001,East,172.31,4,2024-08-01
S00402,P005,East,400.41,1,2024-11-01
S00403,P004,East,483.86,19,2024-10-22
S00404,P002,North,295.93,6,2024-09-25
S00405,P005,West,82.41,8,2024-01-17
S00406,P005,North,103.48,15,2024-06-09
S00407,P004,South,212.35,7,2024-07-29
S00408,P005,West,437.68,2,2024-12-27
S00409,P002,South,284.83,16,2024-09-26
S00410,P004,East,478.78,15,2024-09-29
S00411,P003,East,341.18,9,2024-11-08
S00412,P004,South,479.1,9,2024-10-12
S00413,P003,South,471.33,10,2024-05-27
S00414,P002,West,165.35,12,2024-10-13
S00415,P003,East,69.72,18,2024-07-13
S00416,P004,East,477.76,5,2024-05-28
S00417,P001,East,478.1,3,2024-06-26
S00418,P004,East,376.2,7,2024-04-13
S00419,P005,East,467.18,9,2024-03-11
S00420,P001,South,128.8,17,2024-04-25
S00421,P002,North,59.1,11,2024-08-29
S00422,P001,South,12.54,18,2024-03-21
S00423,P004,West,243.95,7,2024-05-27
S00424,P003,East,326.49,3,2024-11-29
S00425,P005,South,272.22,2,2024-03-30
S00426,P004,South,467.62,2,2024-07-22
S00427,P004,South,468.94,10,2024-01-20
S00428,P001,East,288.3,4,2024-06-20
S00429,P003,West,494.66,18,2024-09-25
S00430,P004,South,427.02,15,2024-05-19
S00431,P002,North,172.04,15,2024-11-27
S00432,P003,South,16.9,11,2024-05-31
S00433,P005,South,95.99,13,2024-08-06
S00434,P005,East,52.5,4,2024-04-04
S00435,P002,West,168.56,8,2024-01-04
S00436,P003,West,125.41,9,2024-06-17
S00437,P003,North,138.16,12,2024-12-20
S00438,P002,North,337.22,15,2024-06-06
S00439,P002,West,346.18,10,2024-12-19
S00440,P001,East,190.1,8,2024-04-22
S00441,P002,West,85.06,20,2024-07-10
S00442,P004,West,381.1,7,2024-05-06
S00443,P005,North,267.5,17,2024-12-26
S00444,P003,North,459.45,4,2024-02-01
S00445,P005,South,290.62,5,2024-03-25
S00446,P003,West,66.96,7,2024-10-25
S00447,P004,North,450.46,15,2024-01-29
S00448,P004,South,261.49,15,2024-10-15
S00449,P001,West,339.66,10,2024-01-12
S00450,P004,East,410.06,7,2024-10-23
S00451,P001,North,217.61,3,2024-10-04
S00452,P001,North,493.21,16,2024-01-17
S00453,P003,West,98.19,5,2024-11-24
S00454,P004,East,496.5,13,2024-08-17
S00455,P004,West,49.32,18,2024-03-09
S00456,P003,North,97.45,18,2024-07-20
S00457,P005,South,366.65,8,2024-01-02
S00458,P001,East,236.87,18,2024-08-05
S00459,P005,West,413.45,8,2024-08-23
S00460,P003,South,145.07,4,2024-01-17
S00461,P004,North,127.93,3,2024-02-21
S00462,P005,North,228.76,2,2024-05-05
S00463,P001,West,225.09,18,2024-04-21
S00464,P001,South,256.91,10,2024-04-29
S00465,P005,East,292.96,11,2024-05-01
S00466,P003,South,492.99,17,2024-04-23
S00467,P004,East,144.83,18,2024-10-29
S00468,P002,West,282.37,2,2024-06-25
S00469,P004,East,351.19,14,2024-03-17
S00470,P003,West,100.1,18,2024-08-30
S00471,P002,South,157.36,5,2024-08-25
S00472,P001,West,484.22,18,2024-09-28
S00473,P002,West,129.0,7,2024-06-18
S00474,P001,West,425.1,3,2024-10-01
S00475,P002,North,141.55,20,2024-11-04
S00476,P001,North,102.2,19,2024-12-09
S00477,P005,South,244.9,11,2024-06-04
S00478,P001,South,469.21,4,2024-09-02
S00479,P002,South,204.35,8,2024-10-09
S00480,P003,East,196.52,18,2024-11-28
S00481,P003,East,138.17,17,2024-09-11
S00482,P004,North,403.38,16,2024-06-12
S00483,P002,East,163.33,2,2024-10-15
S00484,P002,South,17.95,18,2024-10-26
S00485,P005,West,154.64,7,2024-06-17
S00486,P002,West,289.2,8,2024-09-12
S00487,P005,East,136.09,16,2024-11-24
S00488,P004,West,92.43,12,2024-03-27
S00489,P002,West,100.18,18,2024-11-24
S00490,P001,North,421.14,3,2024-12-08
S00491,P001,North,212.07,8,2024-02-04
S00492,P002,North,117.17,15,2024-07-10
S00493,P001,West,333.05,1,2024-01-04
S00494,P005,West,15.81,17,2024-05-20
S00495,P005,East,18.4,14,2024-04-01
S00496,P001,North,266.95,8,2024-04-08
S00497,P005,East,409.46,9,2024-07-22
S00498,P001,East,480.06,15,2024-10-16
S00499,P002,South,156.99,3,2024-11-30
S00500,P001,North,208.59,13,2024-10-09
